address,area,city,state,country,latitude,longitude,property_name,hotel_star_rating
"Door No 5-1-75 A n B, R P Road, Secunderabad, Hyderabad - 500003, Opposite To Citi Lite Hotel, Near Patny Circle",M.G. Road,Secunderabad,Andhra Pradesh,India,15.9128998,79.7399875,Sree Akshaya New Residency,1
"Ganga Vihar , Gali No. 1 Koyal Ghati, Haridwar Road, Rishikesh, Adjicent to Sai Ghat.",Haridwar Road,Rishikesh,Uttarakhand,India,30.0957203,78.2837385,Soank Paradise,3
"601 Rio Grand, Forteliza Society, Kalyani nagar- pune",Koregaon Park,Pune,Maharashtra,India,18.54545029,73.90634163,"Shree Balaji Service Apartments,Kalyani nagar",0
"15/1, Dewas Gate, LAXMIBHAI Marg, Malipura, Ujjain, Madhya Pradesh 456001",Railway Station Area,Ujjain,Madhya Pradesh,India,23.1793013,75.7849097,ShreeRam Hotel,2
"No.19 to 21, Sunrise Orchard, Near M.R. Radha Bunglow, Behind 1st Petrol Bunk Salem District.",Yercaud Main Town,Yercaud,Tamil Nadu,India,11.775251,78.2092576,Sophy's Resort,2
"Pimpalwadi Road, Shirdi",Pimpalwadi Road,Shirdi,Maharashtra,India,19.76938842,74.48387091,Shraddha Sarovar Portico Shirdi,4
Near Nagaur Bus Stand Ajmer Road,Nagaur Bus Stand,Nagaur,Rajasthan,India,27.1991222,73.740924,Shree Aditya  Hotel,0
"Village Salli BO, Shahpur Kangra",Shahpur,Kangra,Himachal Pradesh,India,32.0998031,76.2691006,Snow Monk Camp,0
"60, Feet Main Road, Near New Bus stand,  Kumbakonam",Main Town,Kumbakonam,Tamil Nadu,India,10.95839038,79.38536593,SivaMurugan Hotels,2
"B-33,Sethi Colony,Pustakalaya Marg,Near Transport Nagar, Jaipur",Pink City,Jaipur,Rajasthan,India,26.9059304,75.8413563,Sneh Deep Guest House,0
"Satkar Street,Opposite Hotel Simran, StationRoad,Raipur492009(C.G.)",Station Road,Raipur,Chhattisgarh,India,21.25665878,81.63344155,Simran Heritage Pvt. Ltd.,3
"No1/39K,Munnar Road,Anakkara Po",Munnar Kumily Highway,Thekkady,Kerala,India,9.663195866,77.1586317,Spice Grove By Mandhaara,4
"East Coast Road, Bommaiyar Palayam, (way to chennai) Near Auroville",East Coast Road,Pondicherry,Pondicherry,India,11.9887239,79.8466554,Soorya Beach Resort,3
"Dr.katju Road, Johnstonganj, Allahabad - 211003 near railway stataion",Railway Station Area,Allahabad,Uttar Pradesh,India,25.4358011,81.846311,SHRI BABA LAUGE,0
"Plot No. 7-9, Near Medanta Hospital,Sec. 39, Gurgaon-122003(Haryana)",Sector 39,Gurgaon,Haryana,India,28.44222661,77.04613328,SoulVaas Prime Plaza,3
"No.16/24,3rd Main Road,Thillai Ganga Nagar,Nanganallur",Others,Chennai,Tamil Nadu,India,12.98920336,80.19304727,Sri Krishna Residency,0
"B/121, Palm green flats, Prahlad Nagar,Ahmedabad",S.G. Road,Ahmedabad,Gujarat,India,23.0120338,72.510754,Spectrum Hospitality Prahladnagar,0
"Opp Sam Sand Dunes, Jaisalmer",Sam Sand Dunes,Jaisalmer,Rajasthan,India,26.84811162,70.54888538,Spirit Desert Camp,0
"Opp.Cine Town Multiplex,Serial No. 61,64,65,66,Miyapur Junction",Others,Hyderabad,Andhra Pradesh,India,17.5125114,78.3522278,SITARA GRAND MIYAPUR,0
"#104,D.V.G. Road, Basvangudi",Jayanagar,Bangalore,Karnataka,India,12.9414357,77.57113799,Shree Ganesh Regency,2
"No. 216, CJ Block, Sector II, Salt Lake City, Kolkata  700091",Salt Lake,Kolkata,West Bengal,India,22.5895296,88.4243333,Siesta Sunrise CJ 216,2
"1st A Road, Sardarpura, near sanichar ji ka than, Jodhpur",Rai Ka Bagh,Jodhpur,Rajasthan,India,26.2819121,73.0127192,Sky view Hotel,1
"Ashoka Nagar,6th Cross, Bh Road, Opposite Government College",B H Road,Tumkur,Karnataka,India,13.3415541,77.1053673,Sri Krishna Residency,0
"No.71, Nellukara Street, Kanchipuram",Gandhi Road,Kanchipuram,Tamil Nadu,India,11.1271225,78.6568942,SREESAKTHI RESIDENCY,1
"84,84, 8th street, cross cut road,Gandhipuram",Gandhipuram,Coimbatore,Tamil Nadu,India,11.0168445,76.9558321,Sri Marutham Lodge,1
"Wai Panchgani Road, Dhandeghar, Panchgani",Main Town,Panchgani,Maharashtra,India,17.9234241,73.7976812,Shree Balaji Vishram Gruha,0
"DU117/9 to 117/4,Bhookimata-Ujjad kheda Road,",Indore Road,Ujjain,Madhya Pradesh,India,23.1793013,75.7849097,Shree Swaminarayan Aashram Vadtal,0
singla hotel and restaurant opp traffic police thana jaipur road hanumangarh town rajasthan,Hanumangarh Town,Hanumangarh,Rajasthan,India,29.58198784,74.32293492,SINGLA HOTEL &amp; RESTAURANT,4
"Gulmohar Apartment, Amravati Road, Tilak Nagar, Nagpur",Others,Nagpur,Maharashtra,India,21.1466607,79.0594189,Shri Balaji Service Apartment,0
"P- 5/1,DLF Phase -2 ,Gurgaon",Dlf Phase I I,Gurgaon,Haryana,India,28.48467662,77.09015952,Shudhdeep Aashiyana,0
"SOLANG VALLEY , MANALI-ROHTANG ROAD, P.O. PALCHAN, MANALI",Others,Manali,Himachal Pradesh,India,32.31021537,77.1772561,SOLANG COTTAGE,3
"11,Gokul 1stage,1 Phase,Mathikere Main Road(Next LIC Office)",Yeshwanthpur,Bangalore,Karnataka,India,13.02919674,77.55915687,Sree Nandanam Residency,1
"Near Kisama Heritage Village,Kohima",kohima Nagaland,Kohima,Nagaland,India,25.6086584,94.1193028,South View Home,0
governor shola road Near Fernhill Palace,Mylapore,Ooty,Tamil Nadu,India,11.398866,76.68631,Space 4 Resorts,3
"MIG,1st  2nd Phase,Plot No:15-24-20/21/22,Road No.1,KPHB Colony,Opp. Prasad Hospital,Kukatpally",Kukatpally,Hyderabad,Andhra Pradesh,India,17.4947934,78.3996441,SITARA GRAND,0
"Kavanattinkara,Kumarakom,Kottayam",Kumarakom Main Town,Kumarakom,Kerala,India,9.627935,76.4302771,Skylark Houseboat,0
"13-6-616/J3/19/1,Tirumala Bypass Road Arch,Opp. Srinivasam,Behind APSRTC Busstand, P.K Layout, Tirupati",Main Town,Tirupati,Andhra Pradesh,India,13.6312406,79.4269356,sri hari kiran residency,0
"Manager, Sneha Bhawan, First Floor Kohora PO: Kaziranga National Park Dist: Golaghat (Assam)",Kohora,Kaziranga,Assam,India,26.6,93.466667,Sneha Bhawan,0
"Corbett National Park,  Chunakhan, Ramnagar",Ramnagar,Corbett,Uttarakhand,India,29.3947643,79.1264997,Soho Corbett Resort,1
"H7 South Extension, Part 1,  New Delhi and NCR, India 110049",South Extension,Delhi,Delhi,India,28.5714407,77.22160406,Skylink Suites,3
"Subash Road,meda parvathamma convention hall",Subash Road,Anantapur,Andhra Pradesh,India,14.6818877,77.6005911,Sowmya Sree Lodge,1
"Hatniyapali Lansdowne Garhwal, Kotdwar Badrinath Road,",Gumkhal,Lansdowne,Uttarakhand,India,29.86889933,78.65295232,Shri Govind Highway Motel,0
"A- 1/4 Dlf Phase 1, Dlf City, opposite Qutub plaza market",Dlf Cyber City,Gurgaon,Haryana,India,28.47300269,77.10081747,Spoontree BnB,0
"Near Prashanth nilayam, puttaparthi.",Main Road,Puttaparthi,Andhra Pradesh,India,14.1646645,77.8120422,Sri Sai Sadan,2
"#30-14-6, Beside Rao Auto Mobile, Near Saraswathi Park dabagardens v.s.p",Daba Garden,Visakhapatnam,Andhra Pradesh,India,17.7140459,83.3002987,sree residency,1
"Near Amison seafood factory, Post-Tarkarli, Malvan",Tarkali,Malwan,Maharashtra,India,16.0370463,73.4847782,Silica Beach Resort,1
"2012/7 chuna mandi ,paharganj,new delhi-110055",Paharganj,Delhi,Delhi,India,28.6435481,77.2110547,SHREE LODGE,0
"Murnad Road, Madikeri, Coorg",Madikeri,Coorg,Karnataka,India,12.4027466,75.743835,Sri Venkateshwara Residency,2
"Bhargav Palace,Mira Bhayander Road - Near Docomo Gallery",Station Road,Thane,Maharashtra,India,19.0759837,72.8776559,Sona Lodging,0
"Beach Devbag Sangam Road, Near Siddheshwar Temple, Rd To Tarkarli Beach",Devbag,Malwan,Maharashtra,India,15.97591841,73.49799268,Shree Siddheshwar Hotel,0
"NAGGAR ROAD,ALEO, NEW MANALI  175131","Aleo, left bank",Manali,Himachal Pradesh,India,32.229129,77.1965914,SNOW COUNTRY MANALI,0
EAST NADA GURUVAYOOR 680101,East Nada,Guruvayoor,Kerala,India,10.5945113,76.042154,SREE LAKSHMI TOURIST HOME,0
"P.O Four Fields,Bye Pass GT Road",Others,Amritsar,Punjab,India,31.6339793,74.8722642,Sohal Hotel &amp; Resort,2
"SHUBHAM NIWAS, Bhose Khind Village. Mahabaleshwar Panchgani Road, Mahabaleshwar",Village Bhilar,Panchgani,Maharashtra,India,17.92624461,73.75894638,SHUBHAM NIWAS,0
"582-583, Pencil Wali Building, Opp. U.N. Automobiles,, Goverdhan Villas, Sajjan Nagar, Udaipur","Nh-8, Udaipur Ahmedabad Road",Udaipur,Rajasthan,India,24.53554196,73.68136538,Singhi Villa Guest House,2
"6/112 B, Beach Road, Near Sunset point",Beach Area,kanyakumari,Tamil Nadu,India,8.080476176,77.54327283,Sparsa Resorts (Kanyakumari),0
"Chandanwari Road, Pahalgam, Anantnag - 192126",Chandanwari Road,Pahalgam,Jammu and Kashmir,India,33.7049708,75.2479061,Sky Light Guest House,0
"17/122A, Dashashwamedh Ghat Rd, Near Maa Ganga Temple, Opp. Jal Police, Dashaswmedh Ghat, Bangali Tola, Varanasi, Uttar Pradesh 221001",Bengalitola,Varanasi,Uttar Pradesh,India,25.3176452,82.9739144,Shri Guest House,1
"Shree Samarth Krupa Bungalow, (Machutar village) satara medha road At-Bhalgi",Machutar Village,Mahabaleshwar,Maharashtra,India,17.8887566,73.7220197,Shree Samarth Krupa Bungalow,0
"SMB Residency Hotel,910 Khatiwala Tank Tower Chouraha , Transport Nagar Indore, Madhya Pradesh - 452010",Others,Indore,Madhya Pradesh,India,22.69813794,75.86451546,SMB Residency,1
"Mr. N. Padmanabhan, Sreepadmam, Panamaram, Wayanad",Others,Wayanad,Kerala,India,11.703206,76.0833999,Sreepadmam Homestay,0
"Old Road, Leh",Old Road,Leh,Jammu and Kashmir,India,34.15952918,77.58165349,Spic n Span Hotel,3
"Beside BSNL tower ,Lachen North Sikkim",lachen,Lachen,Sikkim,India,27.6890569,88.7429723,Snow Retreat,1
"# 8-2-675/k, Road No. 13, Banjara Hills, Hyderabad - 500 034. Andhra Pradesh, India.",Banjara Hills Area,Hyderabad,Andhra Pradesh,India,17.40992241,78.44648078,Skyla Serviced Apartments- Road No 13 Banjara Hills,0
"Shree Jee Bhawan Main Road, Sitapur",Karwi,Chitrakoot,Uttar Pradesh,India,25.1812389,80.8571521,Shree Jee Bhawan,1
"Congress nagar Road, Rukhmini Nagar, Amravati  , Hamalpura Maharashtra",Rukhmini Nagar Hamalpura,Amravati,Maharashtra,India,20.92737,77.7671112,SHRI HARI HOTEL,0
"No.42, Naval Hospital Road,Periamet,",Periamet,Chennai,Tamil Nadu,India,13.0827279,80.266817,SILVER PARK GUEST HOUSE,0
"996/3, Nanjanad Avalanchi Road, Appukodu M Palada, Nanjanad Village,",Others,Ooty,Tamil Nadu,India,11.4064138,76.6932438,Sierra Vale,1
"Q-98, South City-1, Nr. Sec-40 market , Gurgaon-122002.",Old Gurgaon,Gurgaon,Haryana,India,28.572029,77.183238,Shweta Inn,0
gold valley sector 2,Others,Lonavala,Maharashtra,India,18.7802463,73.4032874,Shraddha Holiday Homes,1
"Nagar Shirdi Road, Ahmednagar Ho,  Dsp Chowk, Near Tarakpur Bus Stop",Bus Stand,Ahmadnagar,Maharashtra,India,19.0952075,74.7495916,Singh residency,0
"near state bank of india,mantralayam.",Temple Main Rd,Mantralayam,Andhra Pradesh,India,15.9326467,77.4050291,Sri upendhra theertha nilayam,0
"B1/141-B, Assi Gath",Assi Ghat,Varanasi,Uttar Pradesh,India,25.2857954,83.0053145,Siyaram Guest House,0
"Near Grama Panchayat Office, Horanadu Chikmagalur",Kalasa,Chikmagalur,Karnataka,India,13.2343586,75.3557927,Sri Matha Homestay,0
"Nr. haldi Ghati Museum, Balicha, Haldighati, Khamnor",Haldi Ghati,Rajsamand,Rajasthan,India,25.07,73.88,Shree Haldi Ghati Palace,0
"267, Lakshmivilasa Road,Beside Jaganmohan Palace",Others,Mysore,Karnataka,India,12.30607934,76.65049826,Sri Hari Iyengar's Plaza,0
"F 66 South City 1, Opposite Fortis, unitech business park",Sector 29,Gurgaon,Haryana,India,28.4569343,77.06976327,Sona South City - Business Hotel,3
"446, Old Taluk Cutchery Rd, Upparpete, Cottonpet ,bangalore-560053",Gandhi Nagar/ Majestic / City Railway Station,Bangalore,Karnataka,India,12.9733923,77.5696047,Sree Bhavani Palace,0
"Near Mahalaxmi Temple, Opposite commerce college. Azad chowk",Railway Station Area,Kolhapur,Maharashtra,India,16.6913076,74.2448662,Solanki Guest House,1
AE 532 Near kwality Bus Stop .Sec 1 Salt lake,Salt Lake,Kolkata,West Bengal,India,22.5925272,88.4066297,Spice Cottage,3
"Shrivardhan Road, Diveagar - 402404, Near Suvarna Ganesh Temple, Near Marathi School","Near Suvarna Ganesh Temple, Near Marathi School",Diveagar,Maharashtra,India,18.1573576,72.9991794,SIDDHAI RESORT,0
"Upper Pelling,West sikkim",Middle Pelling,Pelling,Sikkim,India,27.3019861,88.2383218,Sikkim Tourist Center,3
"#22, Cottonpet Main Road",Gandhi Nagar/ Majestic / City Railway Station,Bangalore,Karnataka,India,12.973017,77.5702926,Sri Vinayaka Regency Deluxe Lodge,0
"# 174, Nagavara Palya Road, CV Raman Nagar Post, Bangalore, Karnataka, India (Off Old Madras Road / Rear Side of Big Bazaar) (Very close to Bagmane Tech Park)","Old Airport Road, Hal",Bangalore,Karnataka,India,12.9854542,77.6639248,SILICON HEARTH -1,0
"Morjim - Ashvem road, new wada Morjim Pernem goa",Other North Goa Beaches,Goa,Goa,India,15.6377463,73.7255145,Silverlining &amp; Family Retreat,0
"# 18 and 19, 4th Cross, 5th Main, W.H.Hanumanthappa Road,",Gandhi Nagar/ Majestic / City Railway Station,Bangalore,Karnataka,India,12.9790936,77.5777031,Sri Trupthi Comforts,2
"M C Road, Kulanada, Pandalam, Pathanamthitta Kerala","M C Road, Kulanada, Pandalam",Pathanamthitta,Kerala,India,9.2338123,76.732737,Sree Valsam Residency,0
"Row House No.16,Row House Soc.Gandhrav Nagari,Opp.Jayganesh Samrajya,Moshi",Pimpri Chinchwad,Pune,Maharashtra,India,18.6731051,73.8477874,Sparrow  House Gandhrav Nagari,2
"Stand 3 North of Finishing Point and Ramada Resort, Punnamada Road , Alappuzha",Finishing Point Road,Alleppey,Kerala,India,9.4980667,76.3388484,Sreekrishna houseboat two bedroom,2
"160, Main NH-24, Khora Colony, Adarsh Nagar, Opp. Indirapuram, Ghaziabad",Others,Noida,Uttar Pradesh,India,28.5355161,77.3910265,Shri Drona Hotel,1
"Snow View Area, The Mall",The Mall,Dalhousie,Himachal Pradesh,India,32.53855533,75.96990564,Snow Valley Resort,3
"Revdanda-Murud Rd, Kashid, Maharashtra 402202",Revdanda-Murud Rd,Murud Janjira,Maharashtra,India,18.441977,72.9065824,SHREE GANESH FARM HOUSE,0
"Gangotri Highway, Lakheshwar, Uttarkashi, Uttarakhand (India)",Gangotri Highway,Uttarkashi,Uttarakhand,India,30.7268307,78.4354042,SHIVLINGA TOURIST COMPLEX,1
"West Nada, Opposite ICICI Bank,Guruvayoor",Guruvayoor,Thrissur,Kerala,India,10.5276416,76.2144349,SreeKamal Residency,0
Shorom palace Road  Charring cross  Ooty,Charring Cross,Ooty,Tamil Nadu,India,11.40967128,76.70957095,Sholas Residency,2
"A.T.C Bhavan, Kirthee Nagar, House No.26,Thiruvampady P.O., Alleppey 688002, Kerala, S.India",Others,Alleppey,Kerala,India,9.4980667,76.3388484,SHRAYA HOUSE BOAT (B),0
"18 Siris Road,T1/1, DLF Phase III",Dlf Phase I I I,Gurgaon,Haryana,India,28.49097794,77.10731059,Siris 18,3
"133,sector-43 adjoining golf course road behind mercedes benz and Dell Building Gurgaon",Sector 43,Gurgaon,Haryana,India,28.4641637,77.0823482,Space Inn`,0
"Shree Jagdish MahaL Heritage Hotel Near Vidhya Niketan School, Rao ji ka hata, Jadiyon ki oll, Udaipur-313001 Rajasthan (INDIA )",Lake Pichola Area,Udaipur,Rajasthan,India,24.58,73.68,Shree Jagdish Mahal,3
"B.H Road, Sagar, Shimoga Dist, Karnataka State",,Sagar,Karnataka,India,14.1691624,75.0307577,Sri Pavitra Residency,0
"beach Front,Mandarmani",Beach Road,Mandarmani,West Bengal,India,21.6547209,87.6785803,SixSenses,0
"Cupid bungalow No. 2, Suchidham Complex, Near Dindoshi Depot, Landmark- I.O.C. Res. Comp.,  Goregaon East, Mumbai - 400063.",,Mumbai,Maharashtra,India,19.0759837,72.8776559,Sohum Homes,1
"A 3 First Floor Anupam Enclave Phase 1 Ignou Road,Near Saket Metro Station",Saket,Delhi,Delhi,India,28.5204566,77.20164922,Slumber Bed and Breakfast,0
"85/1/2/3, Bicholi Road, Indore Gpo, Near Blue Water Park, Bicholi Hapsi, Indore",A B Road,Indore,Madhya Pradesh,India,22.7176294,75.9390662,Signature Boutique Hotel,0
"Near Killa Gate, Kalidash Medan, Maheshwar (M.P.)",Ahilya Fort,Maheshwar,Madhya Pradesh,India,22.1772853,75.5829782,Shree Balaji Residency,0
"Robinson Road, Palakkad 1 Kerala, India.","Robinson Rd, Santhi Nagar, Sultanpet, Palakkad, Kerala 678001",Palakkad,Kerala,India,10.7867303,76.6547932,Soorya Residency,1
"near sakya monastery Kaza, Himachal Pradesh 172114",New Kaza,Kaza,Himachal Pradesh,India,32.22791676,78.07161257,Spiti Valley Hotel,0
"Nh-24, Ghaziabad,  Garhmukteshwar",Vaishali,Ghaziabad,Uttar Pradesh,India,28.073363,79.6346464,Skylark Hotel,0
"Stand 6 North of Finishing Point and Ramada Resort, Punnamada Road , Alappuzha",Finishing Point Road,Alleppey,Kerala,India,9.4980667,76.3388484,Sreekrishna houseboat five bedroom deluxe,2
maa bamleshwari temple main road,Railway Station Road,Dongargarh,Chhattisgarh,India,21.18842,80.75875,Shubh-aarambh,0
"A B Road, Sendhwa Ho, Near Goshala",Other,Barwani,Madhya Pradesh,India,21.6818986,75.0942651,Shree Garden and Resorts,0
"Fort road Ladakh, 194101 Leh, India",Fort Road,Leh,Jammu and Kashmir,India,34.1525864,77.5770535,Siala Guest House,0
"175, 8th Main Road,  BEML Layout, KamalaNagar, Basaveshwarnagar,  Bangalore  560 079",Yeshwanthpur,Bangalore,Karnataka,India,12.9874689,77.6049218,SnoozOtel,0
Gorishola Road,Doddabetta Junction,Ooty,Tamil Nadu,India,11.40921984,76.71993576,Sinclairs Retreat Ooty,3
"Road No.12,Banjarahills,H.No.8-2-696/697,Beside SBI Banjara Hills",Banjara Hills Area,Hyderabad,Andhra Pradesh,India,17.4138277,78.4397584,SITARA GRAND BANJARA HILLS,0
"Near Madha Amrthamayi Ashram, Elippakulam p.o, Chooonad, Vallikunnam",Others,Alleppey,Kerala,India,9.139427878,76.55245733,Sreelakshmi Residency,4
"Station Road, Near Dak Banglow,Opp Hotel Raj Mahal, Bikaner",Others,Bikaner,Rajasthan,India,28.0229348,73.3119159,Shri Balaji Guest House,0
"73 Sothern Avenue,  NEAR SOUTHERN AVENUE SWIMMING CLUB ,Kolkata",Gariahat,Kolkata,West Bengal,India,22.5134233,88.356013,Southern Plaza,3
"L-481, SECTOR-24, ROHINI,",Rohini,Delhi,Delhi,India,28.7277254,77.0928795,shree shyam guest house,0
"31/519-A, Pakkoda Point Road",Pagoda Point Road,Yercaud,Tamil Nadu,India,11.77659305,78.22205807,Sri Durga Residency,1
"SKY HOTEL Building No. EC - 100 , Scheme No. - 94 C ,Ring Road ,Indore Opp Hotel Radisson / Effotel",A B Road,Indore,Madhya Pradesh,India,22.74975064,75.90379827,Sky Hotel,3
"52/A1 amma mandapam road, srirangam.","Amma Mandapam Road, Srirangam",Tiruchirappalli,Tamil Nadu,India,10.85313996,78.68937267,Sri Hayagriva,2
"Anna Salai, Near Lake Point, Yercaud, Tamil Nadu 636602",Yercaud Main Town,Yercaud,Tamil Nadu,India,11.7841423,78.2102296,Silver Holiday Cottages,0
"1B, Sub District Center Hari Nagar,",Janak Puri,Delhi,Delhi,India,28.630276,77.11355924,SK Premium Park,4
"271, Pipliyapala, Rajeev Gandhi Circle, Ring Road, Indore (M.P.)",A B Road,Indore,Madhya Pradesh,India,22.732007,75.9020854,Silver Oak Vatika,0
"Padmakunj, Sector 4, Plot No.7, Behind Sainath Hospital, Sant Nagar Moshi Pradhikaran",Pimpri Chinchwad,Pune,Maharashtra,India,18.6552517,73.8471204,Sparrow  House Sant Nagar,0
"12, John Selvaraj Nagar, New Bus stand Kumbakonam",Main Town,Kumbakonam,Tamil Nadu,India,10.9616945,79.3881132,Sri Abirami Lodge,0
"1, Adivaram Road, Bharati Nagar, South Anna Nagar, South Anna Nagar, Palani, Tamil Nadu 624601",South Anna Nagar,Palani,Tamil Nadu,India,10.4408698,77.5306082,SIVA LODGE,0
"55/E, Gachibowli-Miyapur Road, Kondapur, Beside KIMS Hospital.",Hi-Tech City,Hyderabad,Andhra Pradesh,India,17.4667858,78.3674687,Siesta Hitech,4
"757,'B',Ward,Near Commerce College,Azad Chowk.",Railway Station Area,Kolhapur,Maharashtra,India,16.6945202,74.2300381,Sri Sri Executive Lodging &amp; Hotel,0
"The Ridge, Near Christ Church",Main Town,Shimla,Himachal Pradesh,India,31.102091,77.1775677,Shiwalik Regency,3
"223,Manekbaug Society,On Manekbaug Post Office,Opp Water Tank,Manekbaug",Ring Road,Ahmedabad,Gujarat,India,23.016721,72.5425611,Spectrum Hospitality Satellite,0
"PB No 52, Letchmi Estate, Munnar",Letchmi Estate,Munnar,Kerala,India,10.08439619,76.90512656,Snow Drops Homestay,1
"bye pass road, tirupati",Main Town,Tirupati,Andhra Pradesh,India,13.6739092,79.3511379,Shri Sai Tirumala,1
"No 345-A, Ooty Main Road Mettupalayam  Coimbatore",Ooty Main Road,Mettupalayam,Tamil Nadu,India,11.30390718,76.93732827,Soorya International,2
"No.8, N.A.L. Wind Tunnel Road , Murgesh Palya, Near H.A.L Airport Road","Old Airport Road, Hal",Bangalore,Karnataka,India,12.9517694,77.6653692,Srinidhi Residency,2
"PP ROAD, PATTIMATTOM, COCHIN",Others,Ernakulam,Kerala,India,10.02675416,76.44960848,Silversteps Furnished Apartments,0
"D.22/16, Chausatti Ghat,  Dashaswamedh, Varanasi, Up, India",Dasaswamedh Ghat,Varanasi,Uttar Pradesh,India,25.305374,83.0105964,SITA GUEST HOUSE,3
"Rampur Kedarnath Mg,Rudraprayag H O","Rampur Kedarnath Mg,Rudraprayag H O",Rudraprayag,Uttarakhand,India,30.2844141,78.9811407,Shivshakti Hotel,0
"29/31, Ranga Pillai St",Others,Pondicherry,Pondicherry,India,11.9348578,79.8304135,Sri Krishnas Guest House,2
"Devka Beach Road, Bhimpore Char Rasta, Daman HO, Daman - 396210, Next to Ambica Wines, Bhimpore	(Map)",Devka Beach Road,Daman,Gujarat,India,20.453889,72.8396534,SHRI AMBICA HOTEL,0
"Chakratirtha Road, Puri Ho, Near Sonar Gauranga",Chakratirtha Road,Puri,Orissa,India,19.8025512,85.8411798,Sri Puri Palace Guest House,0
"No 16, Sabne Road Mahableshwar",Main Town,Mahabaleshwar,Maharashtra,India,17.92453644,73.65790667,Sonu Regency,0
"C-241, Sector-44,Noida",Sector 44,Noida,Uttar Pradesh,India,28.5531502,77.33285315,Sovereign Residency,0
"5, Old RTO Compound, Latouche Road, Hazratganj",Hazratganj,Lucknow,Uttar Pradesh,India,26.8435087,80.9279081,Simla Palace Hotel,0
"No. 106 - 62 Ellalamman, Colony 5th street, Behind STELLAMARIS Collage, cathedral road chennai 86",Chennai City Centre,Chennai,Tamil Nadu,India,13.0414559,80.2520162,Sm homes,0
"D.No:22-1-37, PR College Road,Shanthi Bhavan Complex, R R Road, Kakinada - 01",,Kakinada,Andhra Pradesh,India,16.95536585,82.23036304,Sri Shantinivas lodge,0
"Flat No 20, Happy Vally, Road No 10, Next to Income Tax Colony, Banjara Hills",Banjara Hills Area,Hyderabad,Andhra Pradesh,India,17.41570646,78.43137521,"Skyla Serviced Apartments-RoadNo 10,Banjara Hills",0
"Airport Road, Sitra.","Sitra, Avinashi Road",Coimbatore,Tamil Nadu,India,11.03713468,77.03775919,Skylite hotels,2
"273, 6th Main Rd, Indira Nagar III Stage, Motappapalya, Indiranagar, Bengaluru, Karnataka",Indiranagar,Bangalore,Karnataka,India,12.9733494,77.6386591,Social Rehab,0
"3 Shivaalik, Sector 61 Noida (Near Sai Temple)",Others,NOIDA,Uttar Pradesh,India,28.5960875,77.3683319,SPARSH INN,2
"Wairy Bhuthnath,Near Bhuthnath Temple Tarkarli Beach road  Malvan (416606) Maharashtra, India",Tarkarli Beach,Malwan,Maharashtra,India,16.0630693,73.471054,SP Beach Resort,0
"Flat No 152a, 152b, South Mada Street, Tirupati Ho, Tirupati - 517501, Near Govindha Raju Swamy Temple",G N Mada Street,Tirupati,Andhra Pradesh,India,13.6287557,79.4191795,SRI GURU SRINU RESIDENCY,1
"House No 9-23 Sri Ganesh Complex, Lalitha Nagar, Dilsukh Nagar, Hyderabad",Others,Hyderabad,Andhra Pradesh,India,17.3687826,78.5246706,Sri Ganesh Comforts,0
"Main Road, Kollur",Main Road,Kollur,Karnataka,India,16.986309,78.0485379,Shri Ratna Guest House,0
malviya chowk panchvati nashik,Nashik Main Town,Nashik,Maharashtra,India,20.0139048,73.8106232,SINGHANIA GUEST HOUSE,0
Soudhamini Estate Hosallipet,Mallandur,Chikmagalur,Karnataka,India,13.315258,75.7754018,Soudhamini Homestay,0
"No.1/7, Dr Modi Road, West Of Chord Road, Rajajinagar, Bangalore - 560010, Near Modi Hospital	 (Map)",Malleswaram,Bangalore,Karnataka,India,12.9827352,77.5492213,sri Balaji Residence,0
Manali  Prini V.P.O. Prini village Hamta Road Near Club Mahindra Teh Manali,Village Prini,Manali,Himachal Pradesh,India,32.2415294,77.1888121,SILVER BIRCH COTTAGE,3
"80/1,Usman Road, T.Nagar,Opp.Ranganathan Street",Usman Road,Murudeshwar,Karnataka,India,13.044207,80.2323287,Shri Ganesh Bhavan,0
"No.17, Johnson Street, Behind Hindu Mission Hospital West Tambaram",Guindy,Chennai,Tamil Nadu,India,12.9229208,80.1134188,Sikara Service Aparment ( Tambaram),0
"N.H.8, Near Private Bus Stand, Opp. Police Station, Nathdwara",Opp. Police Station,Nathdwara,Rajasthan,India,24.9291411,73.8213213,Shrinath Inn,2
"Sri Venkateswara Hotel Temple Street, Near Police Station, Opp. Tanisha Marriage Hall, Bhadrachalam, District Khammam, Telangana 507111",Opposite Thanisha Kalyana Mandapam,Bhadrachalam,Andhra Pradesh,India,17.6687912,80.8935925,SRI  VENKATESWARA HOTEL,1
"Bangriposi, Hanada, NH6, Bangriposi",Bangriposi,Mayurbhanj,Orissa,India,22.0086978,86.4187308,SIMILIPAL KHAIRI RESORT,0
"No : 2739 chandraguptha road,near sangam theater halladakeri mysore",Bus Stand/Railway Station Area,Mysore,Karnataka,India,12.31033214,76.65775277,SHREYAS DELUX LODGE,0
"B 3/260, Shivala",Assi Ghat,Varanasi,Uttar Pradesh,India,25.29133237,83.00572928,Shree Hare Rama Hare Krishna Guest House,0
